Species,OtherName,Foodname
Acrantophis madagascariensis,Malagasy Ground Boa/Madagascar Boa/Madagascar ground boa,
Acreichthys tomentosus,Bristletail Filefish/Bristle-tailed Leatherjacket/Matted Leatherjacket/Bristle-tail file-fish,
Acridotheres cristatellus,Crested Myna/Crested Myna/Crested Myna,
Acridotheres fuscus,Jungle Myna/Jungle Myna/Jungle Myna,
Acridotheres ginginianus,Bank Myna/Bank Myna/Bank Myna,
Acridotheres tristis,Common Myna/Common Myna/Common Myna,
Acrocephalus orinus,Large-billed Reed-warbler/Large-billed Reed Warbler/Large-billed Reed Warbler,
Acrochordonichthys rugosus,/,
Acrochordus arafurae,Arafura File Snake/Filesnake/Arafura Filesnake/Arafura Filesnake,
Acrochordus granulatus,Wart Snake/Little Filesnake/Little Wartsnake/Marine File Snake/Small Warty Snake/Little Filesnake/ Marine File Snake/ Wart Snake/File snake/Wart Snake,
Acrocomia aculeata,Macaúba/Macuba palm/Acrocomia mokayayba/coyoli palm,
Acrocomia totai,/grugru palm/Grugru palm,
Acronychia laevis,Hard Aspen/northern white lilly-pilly,
Acronychia oblongifolia,White Aspen/Yellow Wood/,
Acropoma boholensis,/,
Acrossocheilus beijiangensis,/,
Acrossocheilus clivosius,/,
Acrossocheilus iridescens,/,
Acrossocheilus lamus,/,
Acrossocheilus malacopterus,/,
Acrossocheilus microstoma,/,
Acrossocheilus parallens,/,
Acrossocheilus rendahli,/,
Acrossocheilus xamensis,/,
Acrosternum hilare,Bug/Green stink bug/Green soldier/,
Acrostichum aureum,/golden leatherfern/leather fern,
Acroteriobatus annulatus,Lesser Guitarfish/Lesser Sandshark/Guitarfish,
Acroteriobatus blochii,Bluntnose Guitarfish/Fiddlefish/Bluntnose fiddlefish,
Acroteriobatus leucospilus,Greyspot Guitarfish/Grayspot guitarfish,
Acroteriobatus ocellatus,Speckled Guitarfish/Speckled guitarfish,
Acroteriobatus omanensis,Oman Guitarfish/Omn guitarfish,
Acroteriobatus salalah,Salalah Guitarfish/Salalah guitarfish,
Acroteriobatus variegatus,Stripenose Guitarfish/Stripenose guitarfish,
Acryllium vulturinum,Vulturine Guineafowl/Vulturine Guineafowl/ Pintade vulturine/ Pintada vulturina/ pintada-vulturina/Vulturine Guineafowl,
Actephila excelsa,/,
Actinidia arguta,Kiwifruit/Hardy kiwi/tara vine/Tara vine,
Actinidia chinensis,Kiwi/Golden kiwifruit/kiwi/Kiwi,
Actinidia rufa,Kiwifruit/Wild kiwifruit/,
Actinopyga albonigra,/,
Actinopyga caerulea,Blue Sea Cucumber/Blue Sea Cucumber,
Actinopyga echinites,Deep-water redfish/Brownfish/Deep water redfish/Brownfish,
Actinopyga lecanora,/stone fish/stone fish,
Actinopyga mauritiana,/Surf Redfish,
Actinopyga miliaris,/Blackfish,
Actinopyga obesa,/Plump Sea Cucumber,
Actinopyga palauensis,/Panning's Blackfish,
Actinopyga spinea,/New Caledonia Blackfish,
Actinoscirpus grossus,Giant Bur Rush/Giant Bur Rush,
Actitis hypoleucos,Common Sandpiper/Common Sandpiper/ Chevalier guignette/ Andarríos chico/ maçarico-das-rochas/ maçarico-ribeirinho/Common Sandpiper,
Actitis macularius,Spotted Sandpiper/Chevalier grivelé/ Spotted Sandpiper/ Andarríos maculado/ maçarico-pintado/Spotted Sandpiper,
Adalia bipunctata,Two-spotted lady beetle/Two-spot ladybird/Two-spot ladybug/twospotted lady beetle/ coccinelle à deux points/2-Spot Ladybird,
Adansonia digitata,Baobab/Dead-rat tree/Monkey-bread tree/Upside-down tree/Cream of tartar tree/baobab/dead-rat-tree,
Adansonia grandidieri,/Grandidier's baobab,
Adansonia rubrostipa,/fony baobab,
Adansonia za,/za baobab,
Addax nasomaculatus,Addax/addax/ Addax/Addax,
Adenanthera pavonina,Red Sandalwood/Coral Tree/coral bean tree/ false wiliwili/ lopa/ pomea/ red bead tree/ red sandlewood/ red beadtree/Red beadtree,
Adenia ellenbeckii,Green leafy vegetable/,
Adrianichthys kruyti,Duck-billed Buntingi/Duck-bill Poso minnow,
Adrianichthys roseni,/Rosen's buntingi,
Aegiale hesperiaris,Maguey grub/Tequila giant skipper/,
Aegiceras corniculatum,/river mangrove,
Aegithalos concinnus,Black-throated Tit/Black-throated Bushtit/Black-throated Bushtit/Black-throated Tit / Black-throated Bushtit,
Aegithalos iredalei,Red-headed Tit/Red-headed Bushtit/Red-headed Tit,
Aegle marmelos,Woodapple/Indian bael/Bael/Bengal quince/Golden apple/Japanese bitter orange/Stone apple/Indian bael/bael,
Aegopodium podagraria,Ground elder/bishop's goutweed/Ground-elder,
Aepyceros melampus,Impala/Black-faced/impala/ Impala/impala,
Aepypodius arfakianus,Wattled Brush-turkey/Wattled Brushturkey/Wattled Brushturkey/ Talégalle des Arfak/ Talégalo carunculado/ peru-do-mato-de-barbela/ Wattled Brush-turkey/Wattled Brush-turkey,
Aepypodius bruijnii,Waigeo Brush-turkey/Waigeo Brushturkey/Waigeo Brushturkey/ Talégalle de Bruijn/ Talégalo de la Waigeo/ peru-do-mato-da-waigeo/ Waigeo Brush-turkey/ Brujin's Brush-turkey/Waigeo Brush-turkey,
Aequidens metae,/Yellow acara,
Aequidens paloemeuensis,/,
Aequipecten opercularis,Queen scallop/queen scallop,
Aequipecten tehuelchus,Tehuelche scallop/,
Aeretes melanopterus,Northern Chinese Flying Squirrel/Groove-toothed Flying Squirrel/North Chinese Flying Squirrel/groove-toothed flying squirrel/ Northern Chinese Flying Squirrel/Northern Chinese Flying Squirrel,
Aerodramus fuciphagus,Edible-nest Swiftlet/Edible-nest Swiftlet/Edible-nest Swiftlet,
Aerodramus maximus,Black-nest Swiftlet/Black-nest Swiftlet/Black-nest Swiftlet,
Aerodramus unicolor,Indian Swiftlet/Indian Swiftlet/Indian Swiftlet,
Aeschynomene aspera,Sola Pith Plant/Pith Plant/sola pith plant/sola-pith-plant,
Aesculus flava,Yellow Buckeye/yellow buckeye/sweet buckeye,
Aesculus indica,/,
Aesculus turbinata,Japanese horse chestnut/Japanese horse chestnut/Japanese horse-chestnut,
Aesopia cornuta,Unicorn Sole/Dark Thick-rayed Sole/horned sole/horned sole,
Aethaloperca rogaa,Redmouth grouper/Red-flished rock cod/redmouth grouper/redmouth grouper,
Aethia cristatella,Crested Auklet/Crested Auklet/ Alcuela crestada/ Starique cristatelle/ Mérgulo empenachado/ torda-de-penacho/Crested Auklet,
Aethia psittacula,Parakeet Auklet/Parakeet Auklet/ Starique perroquet/ Mérgulo lorito/ torda-papagaio/Parakeet Auklet,
Aethia pusilla,Least Auklet/Least Auklet/ Starique minuscule/ Mérgulo mínimo/ mérgulo-anão/Least Auklet,
Aethomys chrysophilus,Red Rock Rat/Red Veld Aethomys/Red Veld Aethomys/Red Rock Rat,
Aethopyga gouldiae,Gould's Sunbird/Mrs./Mrs. Gould's Sunbird/Mrs. Gould's Sunbird,
Aethotaxis mitopteryx,Longfin icedevil/Threadfin pinhead/,
Aetobatus flagellum,Longhead Eagle Ray/Eagle ray,
Aetobatus narinari,Spotted eagle ray/spotted eagle ray/ bonnetray/ obispo/ chucho pintado/bonnetray,
Aetobatus ocellatus,Spotted Eagle Ray/Ocellated Eagle Ray/Sharpwing Eagle Ray/Spotted Duckbill Ray/Longheaded eagle ray,
Aetomylaeus asperrimus,Roughskin Bullray/Barred eagle ray,
Aetomylaeus bovinus,Bull ray/Duckbill ray/Duckbill eagle ray/Bull ray,
Aetomylaeus maculatus,Mottled Eagle Ray/Bat ray,
Aetomylaeus milvus,Ocellate Eagle Ray/Brown eagle-ray,
Aetomylaeus nichofii,Banded Eagle Ray/Banded eagle ray,
Aetomylaeus vespertilio,Ornate Eagle Ray/Reticulate Eagle Ray/Ornate eagle ray,
Aframomum albiflorum,/,
Aframomum alboviolaceum,/,
Aframomum alpinum,/,
Aframomum angustifolium,/Guinea Grains,
Aframomum arundinaceum,/,
Aframomum atewae,/,
Aframomum aulacocarpos,/,
Aframomum chrysanthum,/,
Aframomum citratum,/,
Aframomum cordifolium,/,
Aframomum corrorima,Korarima/Ethiopian Cardamom/False Cardamom/korarima,
Aframomum daniellii,/,
Aframomum dhetchuvii,/,
Aframomum elegans,/,
Aframomum elliotii,/,
Aframomum exscapum,/,
Aframomum fragrans,/,
Aframomum giganteum,/,
Aframomum glaucophyllum,/,
Aframomum hirsutum,/,
Aframomum kamerunicum,/,
Aframomum kayserianum,/,
Aframomum kodmin,/,
Aframomum laxiflorum,/,
Aframomum leptolepis,/,
Aframomum letestuanum,/,
Aframomum limbatum,/,
Aframomum longiligulatum,/,
Aframomum longipetiolatum,/,
Aframomum longiscapum,/,
Aframomum lutarium,/,
Aframomum luteoalbum,/,
Aframomum makandense,/,
Aframomum mala,/,
Aframomum mannii,/,
Aframomum melegueta,Grains of Paradise/Guinea Grains/Guinea Pepper/Melegueta Pepper/melegueta pepper/alligator-pepper,
Aframomum mildbraedii,/,
Aframomum ngamikkense,/,
Aframomum orientale,/,
Aframomum parvulum,/,
Aframomum pilosum,/,
Aframomum plicatum,/,
Aframomum polyanthum,/,
Aframomum pseudostipulare,/,
Aframomum rostratum,/,
Aframomum rotundum,/,
Aframomum scalare,/,
Aframomum sericeum,/,
Aframomum singulariflorum,/,
Aframomum spiroligulatum,/,
Aframomum stanfieldii,/,
Aframomum strobilaceum,/,
Aframomum submontanum,/,
Aframomum subsericeum,/,
Aframomum sulcatum,/,
Aframomum tchoutoui,/,
Aframomum thonneri,/,
Aframomum uniflorum,/,
Aframomum verrucosum,/,
Aframomum zambesiacum,/,
Afrocanthium keniense,/,
Afropavo congensis,Congo Peafowl/Congo Peacock/Congo Peafowl/ Congo Peacock/ Paon du Congo/ Pavo real del Congo/ pavão-congolês/Congo Peacock,
Afzelia africana,/African mahogany/African-mahogany,
Afzelia bella,/pretty afzelia/pretty afzelia,
Afzelia quanzensis,Pod Mahogany/pod mahogany/pod-mahogany,
Agama africana,/,
Agapornis fischeri,Fischer's Lovebird/Fischer's Lovebird/Fischer's Lovebird,
Agapornis nigrigenis,Black-cheeked Lovebird/Black-cheeked Lovebird/Black-cheeked Lovebird,
Agapornis personatus,Yellow-collared Lovebird/Yellow-collared Lovebird/Yellow-collared Lovebird,
Agapornis roseicollis,Rosy-faced Lovebird/Rosy-faced Lovebird/Rosy-faced Lovebird,
Agaricus arvensis,Wild mushroom/Horse mushroom/Horse Mushroom,
Agaricus bisporus,Button mushroom/Cultivated mushroom/Cultivated Mushroom,
Agaricus bitorquis,Pavement Mushroom/Pavement Mushroom,
Agaricus campestris,Field Mushroom/Meadow Mushroom/Field Mushroom,
