Species,OtherName,Foodname
Haplochromis pitmani,/,
Haplochromis plagiostoma,/,
Haplochromis plutonius,/,
Haplochromis prodromus,/,
Haplochromis prognathus,/,
Haplochromis pseudopellegrini,/,
Haplochromis ptistes,/,
Haplochromis pundamilia,/,
Haplochromis pyrrhopteryx,/,
Haplochromis retrodens,/,
Haplochromis rubripinnis,/,
Haplochromis rufocaudalis,/,
Haplochromis rufus,/,
Haplochromis sauvagei,Rock Kribensis/Rock Kribensis,
Haplochromis spekii,/,
Haplochromis sphex,/,
Haplochromis squamulatus,/,
Haplochromis sulphureus,/,
Haplochromis tanaos,/,
Haplochromis teegelaari,/,
Haplochromis teunisrasi,/,
Haplochromis theliodon,/,
Haplochromis thereuterion,Double Stripe/Double Stripe,
Haplochromis thuragnathus,/,
Haplochromis tridens,/,
Haplochromis tyrianthinus,/,
Haplochromis ushindi,/,
Haplochromis vanoijeni,/,
Haplochromis victoriae,/,
Haplochromis victorianus,/,
Haplochromis vonlinnei,/,
Haplochromis welcommei,/,
Haplochromis xanthopteryx,Black Pseudo-nigricans/Black Pseudo-nigricans,
Haplochromis xenostoma,/,
Haplocoelum foliolosum,/,
Haploporus odorus,Diamond Willow Fungus/Aniseed Polypore/Diamond Willow Fungus,
Hardella thurjii,Crowned River Turtle/Crowned River Turtle/Crowned River Turtle,
Harengula clupeola,False Herring/False Pilchard/false pilchard/ false herring/ sardina escamuda/ sardinita carapachona/false herring,
Harengula humeralis,Redear Herring/redear sardine/ redear herring/ sardina de ley/ sardinita de ley/redear herring,
Harengula jaguana,Scaled herring/scaled sardine/scaled sardine/ scaled herring/ sardina escamudina/ sardinita vivita escamuda/scaled herring,
Harengula thrissina,Pacific flatiron herring/flatiron herring/ Pacific flatiron herring/ sardinita plumilla/Pacific flatiron herring,
Harpactes wardi,Ward's Trogon/Ward's Trogon/ Trogón de Ward/ Trogon de Ward/Ward's Trogon,
Harpadon microchir,/smallfinned Bombay duck/smallfinned Bombay duck,
Harpadon nehereus,Bombay-duck/Bombay duck/ scopelidé/ bumalo/Bombay duck,
Harpephyllum caffrum,Wild plum/wild plum tree/Kaffir-date,
Harpia harpyja,Harpy Eagle/American/Águila arpía/ Harpy Eagle/ Harpie féroce/Harpy Eagle,
Harpiosquilla raphidea,Giant harpiosquillid mantis shrimp/,
Harpyionycteris celebensis,Sulawesi Harpy Fruit Bat/Sulawesi Harpy Fruit Bat/Sulawesi Harpy Fruit Bat,
Harrisia adscendens,/,
Harrisia eriophora,Fragrant Prickly Apple/Fragrant Apple Cactus/Woolly Prickly Apple/fragrant prickly-apple,
Harrisia gracilis,/,
Harrisia martinii,Mooncactus/mooncactus/Moon cactus,
Harrisia pomanensis,/applecactus/midnight-lady,
Harrisina americana,Moth/grapeleaf skeletonizer/Grapeleaf Skeletonizer Moth,
Harungana madagascariensis,/orange milktree,
Heberdenia excelsa,/,
Hedysarum alpinum,Mashu roots/Alpine sweetvetch/alpine sweetvetch/Alpine Sweetvetch,
Helarctos malayanus,Sun Bear/Malayan/Sun bear/ Malayan Sun Bear/sun bear,
Helianthus annuus,Sunflower/common sunflower/Helianthus annus/annual sunflower/ sunflower/ wild sunflower/ common sunflower/Sunflower,
Helianthus anomalus,Anomalus Sunflower/Sand Sunflower/Western Sunflower/desert sunflower/ western sunflower/anomalous sunflower,
Helianthus tuberosus,Jerusalem-artichoke/sunroot/sunchoke/wild sunflower/topinambur/earth apple/Jerusalem-artichoke/ girasole/ Jerusalem sunflower/ Jerusalem artichoke/Jerusalem artichoke,
Helichrysum nudifolium,Leaf/,
Helichrysum zeyheri,Leaf/Grey everlasting/vaalbergkaroo/,
Helicia australasica,/,
Helicia cochinchinensis,/,
Helicia nilagirica,/,
Helicolenus dactylopterus,Blackbelly rosefish/blackbelly rosefish/Helicolenus dacthlopterus/bluemouth rockfish/bluemouth seaperch/blackbelly rosefish/blackbelly rosefish,
Helicolenus percoides,Red gurnard perch/sea perch/sea perch,
Helicophagus leptorhynchus,Rat-faced Pangasiid/Rat-faced Pangasiid,
Helicophagus typus,/,
Helicophagus waandersii,/,
Heliocidaris crassispina,Sea urchin/purple sea urchin/,
Heliopais personatus,Masked Finfoot/Asian Finfoot/Masked Finfoot/Masked Finfoot,
Heliophobius argenteocinereus,Silvery Mole Rat/Silvery Mole-rat/silvery mole rat,
Heliosciurus gambianus,Gambian Sun Squirrel/Gambian Sun Squirrel/Gambian Sun Squirrel,
Heliosciurus rufobrachium,Red-legged Sun Squirrel/Crab-eating Mongoose/Isabelline/Red-legged Sun Squirrel/Red-legged Sun Squirrel,
Helix asemnis,/,
Helix borealis,/,
Helix cincta,/Greek banded snail,
Helix delpretiana,/,
Helix figulina,/,
Helix godetiana,/,
Helix ligata,/ligate snail,
Helix nucula,/,
Helix pomatia,Escargot/Burgundy snail/Roman snail/escargot/Escargot,
Helix thessalica,/,
Helix valentini,/,
Helogenes castaneus,/,
Helostoma temminckii,Kissing gourami/Green kisser,
Hemanthias peruanus,Splittail bass/splittail bass/ cabrilla doblecola/splittail bass,
Hemanthias signifer,Damsel bass/splittail bass/ cabrilla doncella/ hookthroat bass/hookthroat bass,
Hemarthria altissima,/limpograss/ African jointgrass/African jointgrass,
Hemiancistrus landoni,/,
Hemiancistrus medians,/,
Hemiarius stormii,Armoured Sea Catfish/armoured sea catfish/armoured sea catfish,
Hemibagrus baramensis,/,
Hemibagrus camthuyensis,/,
Hemibagrus caveatus,/,
Hemibagrus centralus,/,
Hemibagrus chiemhoaensis,/,
Hemibagrus divaricatus,/,
Hemibagrus dongbacensis,/,
Hemibagrus filamentus,/,
Hemibagrus fortis,/,
Hemibagrus gracilis,/,
Hemibagrus guttatus,/,
Hemibagrus hoevenii,/Asian redtail catfish,
Hemibagrus imbrifer,/,
Hemibagrus lacustrinus,/,
Hemibagrus macropterus,/,
Hemibagrus maydelli,Krishna Mystus/Krishna mystus,
Hemibagrus menoda,/Menoda catfish,
Hemibagrus microphthalmus,/Irrawaddy mystus,
Hemibagrus nemurus,Asian redtail catfish/Asian redtail catfish,
Hemibagrus olyroides,/,
Hemibagrus peguensis,/Sittang mystus,
Hemibagrus planiceps,/,
Hemibagrus pluriradiatus,/,
Hemibagrus punctatus,Nilgiri Mystus/Nilgiri mystus,
Hemibagrus sabanus,/,
Hemibagrus semotus,/,
Hemibagrus spilopterus,/,
Hemibagrus variegatus,/,
Hemibagrus velox,/,
Hemibagrus vietnamicus,/,
Hemibagrus wyckii,Blacktail Catfish/Crystal-eyed Catfish/Blacktail Catfish,
Hemibagrus wyckioides,Asian Red Tailed Catfish/Red fin bagrus/Asian Red Tailed Catfish,
Hemibarbus labeo,/Amur barbel,
Hemibarbus longirostris,/,
Hemibarbus macracanthus,/,
Hemibarbus maculatus,/Spotted barbel,
Hemibarbus thacmoensis,/,
Hemibarbus umbrifer,/,
Hemibates stenosoma,/,
Hemibrycon divisorensis,/,
Hemibrycon helleri,/,
Hemibrycon inambari,/,
Hemibrycon polyodon,/,
Hemicaranx amblyrhynchus,Bluntnose jack/bluntnose jack/ chicharra/ jurelito chato/bluntnose jack,
Hemicaranx bicolor,/Bicolor jack,
Hemicaranx leucurus,Yellowfin jack/jurelito aletiamarilla/ yellowfin jack/yellowfin jack,
Hemicaranx zelotes,Blackfin jack/blackfin jack/ jurelito chocho/blackfin jack,
Hemicentetes nigriceps,Highland Streaked Tenrec/Highland Streaked Tenrec/Highland streaked tenrec,
Hemicentetes semispinosus,Lowland Streaked Tenrec/streaked tenrec/ Lowland Streaked Tenrec/Lowland streaked tenrec,
Hemicentrotus pulcherrimus,Sea urchin/,
Hemichromis bimaculatus,Jewelfish/African jewelfish/Jewel cichlid/African jewelfish/ jewel cichlid/ jewelfish/African jewelfish,
Hemichromis cerasogaster,/,
Hemichromis elongatus,Banded Jewel Cichlid/Banded Jewelfish/Five Spot/fiveblotch jewelfish/Jewel cichlid,
Hemichromis exsul,/Turkana jewel cichlid,
Hemichromis fasciatus,Banded jewelfish/five-spot cichlid/banded jewelfish/banded jewelfish,
Hemichromis lifalili,/lifalili cichlid/ lifalili cichlid/lifalili cichlid,
Hemichromis stellifer,/,
Hemiculter elongatus,/,
Hemiculter krempfi,/,
Hemiculter leucisculus,Sharpbelly/Common sawbelly,
Hemiculter lucidus,/Sharpbelly,
Hemiculter tchangi,/,
Hemiculterella macrolepis,/,
Hemiculterella sauvagei,/,
Hemidesmus indicus,Root Hemidesmus indicus var. indicus/Indian sarsaparilla/,
Hemiemblemaria simulus,Wrasse blenny/wrasse blenny/ sapito doncella/wrasse blenny,
Hemigaleus microstoma,Sicklefin weasel shark/sicklefin weasel shark/sicklefin weasel shark,
Hemigalus derbyanus,Banded Civet/Banded Palm Civet/Banded Palm Civet/banded palm civet,
Hemiglyphidodon plagiometopon,Lagoon Damselfish/Purple-spotted Demoiselle/Sweetlip Damsel/lagoon damselfish/lagoon damselfish,
Hemigrammopetersius barnardi,Barnard's Robber/Barnard's robber,
Hemigymnus fasciatus,Barred thicklip/fivebanded wrasse/fivebanded wrasse,
Hemigymnus melapterus,Blackeye thicklip/half-and-half wrasse/blackeyed thicklip/blackeyed thicklip,
Hemigymnus sexfasciatus,/Barred thicklip,
Hemilutjanus macrophthalmos,/Grape-eye seabass,
Hemimyzon confluens,/,
Hemimyzon ecdyonuroides,/,
Hemimyzon macroptera,/,
Hemimyzon nanensis,/,
Hemimyzon papilio,/,
Hemimyzon pengi,/,
Hemiodus amazonum,/,
Hemiodus huraulti,/,
Hemipristis elongata,Snaggletooth Shark/Fossil Shark/snaggletooth shark,
Hemiramphus balao,Balao halfbeak/Balao/balao/ escribano balao/ agujeta balao/Balao halfbeak,
Hemiramphus brasiliensis,Ballyhoo halfbeak/Ballyhoo/ballyhoo/ escribano de aletas rojas/ agujeta brasileña/ballyhoo,
Hemiramphus saltator,Longfin halfbeak/longfin halfbeak/ pajarito saltador/longfin halfbeak,
Hemiscyllium freycineti,The Raja Ampat Epaulette Shark/Freycinet's Epaulette Shark/Indonesian Speckled Carpet Shark/Indonesian speckled carpetshark/ bamboa jaspeada/ Indonesian speckled carpet shark/ requin-chabot grivelé/Indonesian speckled carpet shark,
Hemiscyllium galei,Gale's Epaulette Shark/Cenderwasih Epaulette shark,
Hemiscyllium halmahera,Halmahera Epaulette Shark/Bamboo shark,
Hemiscyllium henryi,Henry's Epaulette Shark/Triton Epaulette shark,
Hemiscyllium michaeli,Michael's Epaulette Shark/Leopard Epaulette shark,
Hemiscyllium strahani,Hooded Carpet Shark/hooded carpetshark/hooded carpetshark,
Hemisilurus heterorhynchus,/,
Hemisilurus mekongensis,/,
Hemisilurus moolenburghi,/,
Hemisorubim platyrhynchos,Porthole shovelnose catfish/spotted shovelnose catfish/Porthole shovelnose catfish,
Hemisus marmoratus,Marbled Snout-burrower/Shovel-nosed Burrowing Frog,
Hemitragus jemlahicus,Himalayan Tahr/Himalayan tahr/ Himalayan Tahr/Himalayan Tahr,
Hemitriakis indroyonoi,Indonesian Houndshark/Indonesian Houndshark,
Hemitriakis japanica,Japanese topeshark/Japanese topeshark/Japanese topeshark,
Hemitriakis leucoperiptera,Whitefin topeshark/whitefin topeshark/whitefin topeshark,
Hemitrygon akajei,Whip stingray/red stingray/Brown stingray,
Hemitrygon bennetti,Bennett's Stingray/Bennett's stingray,
Hemitrygon fluviorum,Estuary stingray/brown stingray/Brown stingray,
Hemitrygon izuensis,Izu Stingray/Izu stingray,
Hemitrygon laevigata,Yantai Stingray/Yantai stingray,
Hemitrygon laosensis,Mekong Stingray/Mekong Freshwater Stingray/Mekong freshwater stingray,
Hemitrygon longicauda,Merauke Stingray/Merauke stingray,
Hemitrygon parvonigra,Dwarf Black Stingray/Dwarf black stingray,
Hemitrygon sinensis,Chinese Stingray/Chinese stingray,
Hemixos castanonotus,Chestnut Bulbul/Chestnut Bulbul/Chestnut Bulbul,
Henicopernis infuscatus,Black Honey-buzzard/Black Honey Buzzard/New Britain Honey-buzzard/Black Honey Buzzard/Black Honey-Buzzard,
Henicorhynchus siamensis,Siamese mud carp/Siamese mud carp,
Heniochus acuminatus,Pennant coralfish/featherfin bullfish/featherfin bullfish,
Heosemys annandalii,Yellow-headed Temple Turtle/Yellow-headed Temple Turtle/Yellow-headed temple turtle,
Heosemys depressa,Arakan Forest Turtle/Arakan Forest Turtle/Arakan forest turtle,
Heosemys grandis,Giant Asian Pond Turtle/Giant Asian Pond Turtle/Giant Asian pond turtle,
Hephaestus adamsoni,/Adamson's grunter,
Hephaestus epirrhinos,Longnose Sooty Grunter/Long-nose Sooty Grunter,
Hephaestus fuliginosus,/Black bream,
Hephaestus habbemai,Mountain Grunter/Mountain grunter,
Hephaestus jenkinsi,Western Sooty Grunter/Jenkin's sooty grunter,
Hephaestus roemeri,Roemerâ€™s Grunter/Romer's grunter,
Hepsetus odoe,Kafue pike/pike characid/ pike characid/pike characid,
Heptapleurum aromaticum,/,
Heptapleurum forbesii,/,
Heptranchias perlo,Sharpnose sevengill shark/sharpnose sevengill shark/ tiburón de 7 branchias/ tiburón de siete branquias/Seven-gilled Mediterranean shark,
Heracleum maximum,/cow parsnip/ cowparsnip/ common cowparsnip/Common Cowparsnip,
Hericium erinaceus,Bearded Tooth/Bearded Tooth,
Hericium rajchenbergii,/,
Heritiera littoralis,/Looking-glass tree,
Herklotsichthys dispilonotus,Blacksaddle herring/blacksaddle herring/blacksaddle herring,
Herklotsichthys quadrimaculatus,Bluestripe herring/Herklotsichthys quadrimaculat./goldspot herring/ gold spot herring/ bluestripe herring/ hareng à bande bleue/ aranque banda azul/Goldspot herring,
Hermetia illucens,Black soldier fly/black soldier fly/ black soldier fly/Black soldier fly,
Heroina isonycterina,/,
Herotilapia multispinosa,Rainbow Cichlid/Rainbow cichlid,
Herpestes javanicus,Javan Mongoose/Indian mongoose/ Javan mongoose/ Small Asian Mongoose/Small Asian mongoose,
Herpestes naso,Long-nosed Mongoose/Long-nosed Mongoose/long-nosed mongoose,
Herpestes smithii,Ruddy Mongoose/Ruddy Mongoose/ruddy mongoose,
Herpestes urva,Crab-eating Mongoose/Crab-eating Mongoose/crab-eating mongoose,
Herpestes vitticollis,Stripe-necked Mongoose/Striped-necked Mongoose/striped-necked mongoose/ Stripe-necked Mongoose/stripe necked mongoose,
Hesperoptenus tickelli,Tickell's Bat/Tickell's Bat/ Tickell's False Serotine/Tickell’s False Serotine,
Hesperoyucca whipplei,/chaparral yucca/Our Lord's-candle,
Heteralocha acutirostris,Huia/Huia/Huia,
Heterobranchus bidorsalis,African catfish/eel-like fattyfin catfish/African catfish,
Heterobranchus isopterus,/,
Heterobranchus longifilis,Hetero-Clarias catfish/Catfish,
Heterocarpus ensifer,Armed nylon shrimp/armed nylon shrimp/armed nylon shrimp,
Heterocarpus grimaldii,/,
Heterocarpus reedi,Chilean nylon shrimp/chilean nylon shrimp/Chilean nylon shrimp,
Heterocarpus vicarius,Northern nylon shrimp/northern nylon shrimp/,
Heterochromis multidens,/,
Heterodontus francisci,Horn Shark/Bullhead Shark/California/horn shark/ dormilón cornudo/ requin dormeur cornu/ tiburón puerco/horn shark,
Heterodontus japonicus,Japanese Bullhead Shark/dormilón japonés/ Japanese bullhead shark/ requin dormeur nekozame/Japanese bullhead shark,
Heterodontus mexicanus,Mexican Hornshark/Mexican hornshark/ Mexican horn shark/ tiburón perro/Mexican horn shark,
Heterodontus zebra,Barred Bullhead Shark/Barred Shark/Bullhead Shark/Zebra Bullhead Shark/Zebra Port Jackson Shark/heterodontus zebra/zebra bullhead shark,
Heterohyrax brucei,Bush Hyrax/Hoggar Hyrax/Yellow-spotted Hyrax/Yellow-spotted Rock Hyrax/Yellow-spotted Rock Hyrax/rock hyrax,
Heterololigo bleekeri,Spear squid/Spear Squid,
Heteromycteris japonicus,Bamboo Sole/bamboo sole/ sasaushinoshita/bamboo sole,
Heteromycteris proboscideus,True sole/True sole,
Heteronetta atricapilla,Black-headed Duck/Black-headed Duck/ Hétéronette à tête noire/ Pato rinconero/ marreca-de-cabeça-preta/Black-headed Duck,
Heterophasia melanoleuca,Dark-backed Sibia/Dark-backed Sibia/Dark-backed Sibia,
Heterophasia picaoides,Long-tailed Sibia/Long-tailed Sibia/Long-tailed Sibia,
Heteropneustes fossilis,Stinging catfish/Asian stinging catfish/fossil cat/stinging catfish/stinging catfish,
Heteropneustes kemratensis,Air-sac Catfish/Stinging catfish,
Heteropriacanthus cruentatus,Glasseye/Glasseye snapper/catalufa espinosa/ glasseye snapper/ catalufa roquera/Balarton,
Heterospathe elata,/sagisi palm,
Heterospathe elmeri,/,
Heterospathe phillipsii,Phillips' Palm/Phillips' Palm,
Heterospathe porcata,/,
Heterostichus rostratus,Giant Kelpfish/giant kelpfish/ sargacero gigante/giant kelpfish,
Heteroteuthis dispar,/cuttlefish,
Heterotilapia buettikoferi,/,
Heterotilapia cessiana,/,
Heterotis niloticus,African bonytongue/African arowana/Nile arowana/African bonytongue/African bonytongue,
Hevea brasiliensis,Rubber Tree/Natural Rubber/Para/rubber tree/hevea,
Hexagenia limbata,Mayfly/Giant Mayfly,
Hexagenia rigida,Mayfly/,
Hexagrammos decagrammus,Kelp greenling/kelp greenling/kelp greenling,
Hexagrammos lagocephalus,Rock Greenling/rock greenling/rock greenling,
Hexagrammos otakii,Fat greenling/Fat greenling,
Hexalobus crispiflorus,/,
Hexalobus monopetalus,/,
Hexalobus mossambicensis,/,
Hexalobus salicifolius,/,
Hexanchus griseus,Bluntnose sixgill shark/bluntnose sixgill shark/ sixgill shark/ marrajo/ tiburón de seis branquias/Atlantic mud shark,
Hexanchus nakamurai,Bigeyed Sixgill Shark/bigeye sixgill shark/ cazón de seis branquias/Bigeye sixgill shark,
Hexaplex trunculus,Banded murex/banded dye-murex,
Hibiscus calyphyllus,/lemonyellow rosemallow/lemonyellow rosemallow,
Hibiscus rosa-sinensis,Chinese hibiscus/China rose/shoe flower/shoeblackplant/Hibiscus rosainesesis/Chinese hibiscus/ shoe-black plant/Shoeblackplant,
Hibiscus sabdariffa,Roselle/Florida cranberry/red sorrel/Jamaica sorrel/roselle/Roselle,
Hibiscus trionum,Flower-of-an-Hour/bladder hibiscus/ladder ketmia/bladder weed/puarangi/venice mallow/flower-of-an-hour/ bladder ketmia/ rosemallow/ Venice mallow/ flower of an hour/ ketmie trilobée/Bladder Ketmia,
Hierodula westwoodi,Mantis/,
Hilsa kelee,Kelee shad/kelee shad/fivespot herring/razorbelly/Kelee shad/ alose palli/ sábalo chandano/Kelee shad,
Himanthalia elongata,Sea thong/sea-thong,
Himantopus himantopus,Black-winged Stilt/Black-winged Stilt/ Échasse blanche/ Cigüeñuela común/ pernilongo/Black-winged Stilt,
Himantornis haematopus,Nkulengu Rail/Nkulengu Rail/Nkulengu Rail,
Himantura australis,Australian Whipray/Australian whipray,
Himantura leoparda,Leopard Whipray/Honeycomb stingray,
Himantura uarnak,Coach Whipray/Reticulate Whipray/Coachwhip ray,
Himantura undulata,Leopard whipray/Honeycomb whipray/Honeycomb stingray,
Hime caudizoma,Indonesian Flagfin/Indonesian flagfin,
Hime diactithrix,/,
Hippocamelus antisensis,Taruca/North Andean Deer/North Andean Huemul/Peruvian Guemal/Peruvian Huemul/North Andean huemul/ Peruvian guemal/ Taruca/North Andean huemul,
Hippocamelus bisulcus,Patagonian Huemul/Chilean Guemal/Chilean Huemul/South Andean Deer/South Andean Huemul/Chilean Guemal/ South Andean huemul/ Guemal/South Andean Huemul,
Hippoglossina bollmani,Spotted Flounder/lenguado pintado/ spotted flounder/ Spotted Flounder/Spotted Flounder,
Hippoglossina macrops,Bigeye Flounder/Bigeye flounder,
Hippoglossina stomata,Bigmouth Sole/Bigmouth Flounder/bigmouth sole/ lenguado bocón/ Bigmouth Sole/Bigmouth Sole,
Hippoglossina tetrophthalma,Fourspot Flounder/Foureye Flounder/foureye flounder/ lenguado cuatrojos/ Foureye Flounder/Foureye Flounder,
Hippoglossoides dubius,Righteye flounders/flathead founder/Red halibut/akagarei/ flathead flounder/akagarei,
Hippoglossoides elassodon,Flathead sole/flathead sole/ Flathead Sole/ plie à tête plate/Flathead sole,
Hippoglossoides platessoides,American plaice/Long rough dab/American plaice/ American dab/ Canadian plaice/ dab/ plie canadienne/ American Plaice/American plaice,
Hippoglossoides robustus,Bering Flounder/Bering flounder/ Bering Flounder/ plie de Béring/Bering Flounder,
Hippoglossus hippoglossus,Atlantic halibut/Atlantic halibut/ flétan atlantique/ Atlantic Halibut/Atlantic halibut,
Hippoglossus stenolepis,Pacific halibut/Pacific halibut/ alabato del Pacífico/ flétan du Pacifique/ Pacific Halibut/Pacific halibut,
Hippophae rhamnoides,Sea buckthorn/seaberry/seabuckthorn/ seaberry/sallowthorn,
Hippopotamus amphibius,Hippopotamus/Common/hippopotamus/ Common Hippopotamus/Common Hippopotamus/ Hippopotamus/ Large Hippo,
Hippopotamyrus ansorgii,/Slender stone basher,
Hippopotamyrus castor,/Lokundi's mormyrid,
Hippopotamyrus paugyi,/,
Hippopotamyrus pictus,Trunkfish/Elephant Nose/Trunkfish,
Hippopus hippopus,Bear paw clam/Horse Hoof clam/Strawberry clam/bear paw clam,
Hipposcarus harid,Candelamoa parrotfish/redlined parrotfish/redlined parrotfish,
Hipposcarus longiceps,Pacific longnose parrotfish/Long-nosed parrotfish,
Hipposideros abae,Aba Roundleaf Bat/Aba roundleaf bat/ Aba Leaf-nosed Bat/Aba Leaf-nosed Bat,
Hipposideros armiger,Great Himalayan Leaf-nosed Bat/Great Leaf-nosed Bat/Great Roundleaf Bat/great roundleaf bat/ Great Leaf-nosed Bat/ Great Himalayan Leaf-nosed Bat/Great Himalayan Leaf-nosed Bat,
Hipposideros ater,Dusky Leaf-nosed Bat/Bi-coloured Leaf-nosed Bat/Dusky Roundleaf Bat/dusky roundleaf bat/ Dusky Leaf-nosed Bat/Dusky Leaf-nosed Bat,
Hipposideros coronatus,Large Mindanao Leaf-nosed Bat/Large Mindanao Roundleaf Bat/large Mindanao roundleaf bat/ Large Mindanao Leaf-nosed Bat/Large Mindanao Leaf-nosed Bat,
Hipposideros demissus,Makira Leaf-nosed Bat/Makira Horseshoe Bat/Makira Leaf-nosed Bat/Makira Leaf-nosed Bat,
Hipposideros diadema,Diadem Leaf-nosed Bat/Diadem Horseshoe-bat/Diadem Leafnosed-bat/Diadem Roundleaf Bat/diadem roundleaf bat/ Diadem Leaf-nosed Bat/Diadem Leaf-nosed Bat,
Hipposideros gentilis,Andersenâ€™s Roundleaf Bat/Andersen's Leaf-nosed Bat/Andersen's Leaf-nosed Bat,
Hipposideros grandis,Grand Leaf-nosed Bat/Grand Roundleaf Bat/Grand Leaf-nosed Bat/Grand Leaf-nosed Bat,
Hipposideros halophyllus,Thailand Leaf-nosed Bat/Thailand Roundleaf Bat/Thailand roundleaf bat/ Thailand Leaf-nosed Bat/Thailand Leaf-nosed Bat,
Hipposideros lamottei,Lamotte's Roundleaf Bat/Lamotte's roundleaf bat/ Lamotte's Leaf-nosed Bat/Lamotte's Leaf-nosed Bat,
Hipposideros lankadiva,/Indian roundleaf bat/ Indian Leaf-nosed Bat/Indian Leaf-nosed Bat,
Hipposideros larvatus,Horsfield's Leaf-nosed Bat/Intermediate Leaf-nosed Bat/Intermediate Roundleaf Bat/intermediate roundleaf bat/ Intermediate Leaf-nosed Bat/ Horsfield's Leaf-nosed Bat/Horsfield's Leaf-nosed Bat,
Hipposideros lekaguli,Large Asian Leaf-nosed Bat/Large Asian Roundleaf Bat/large Asian roundleaf bat/ Large Asian Leaf-nosed Bat/Large Asian Leaf-nosed Bat,
Hipposideros lylei,Shield-faced Leaf-nosed Bat/Shield-faced Roundleaf Bat/shield-faced roundleaf bat/ Shield-faced Leaf-nosed Bat/Shield-faced Leaf-nosed Bat,
Hipposideros marisae,Aellen's Roundleaf Bat/Aellen's roundleaf bat/ Aellen's Leaf-nosed Bat/Aellen's Leaf-nosed Bat,
Hipposideros pygmaeus,Philippine Pygmy Leaf-nosed Bat/Philippine Pygmy Roundleaf Bat/Philippine pygmy roundleaf bat/ Philippine Pygmy Leaf-nosed Bat/Philippine Pygmy Leaf-nosed Bat,
Hipposideros ruber,Noack's Roundleaf Bat/Noack's roundleaf bat/ Noack's Leaf-nosed Bat/Noack's Leaf-nosed Bat,
Hipposideros scutinares,Shield-nosed Leaf-nosed Bat/Shield-nosed Leaf-nosed Bat/Shield-nosed Leaf-nosed Bat,
Hipposideros speoris,/Schneider's roundleaf bat/ Schneider's Leaf-nosed Bat/Schneider's Leaf-nosed Bat,
Hippotragus equinus,Roan Antelope/roan antelope/roan antelope,
Hippotragus niger,Sable Antelope/sable antelope/ Sable Antelope/sable antelope,
Hirundichthys affinis,Fourwing Flyingfish/fourwing flyingfish/ volador de 4 alas/ volador golondrina/fourwing flyingfish,
Hirundichthys rondeletii,Black wing flyingfish/blackwing flyingfish/ brownwinged flyingfish/ nonsuch flyingfish/ volador de alas negras/ volador ala negra/Black wing flyingfish,
Hirundo rustica,Barn Swallow/European Swallow/Swallow/Golondrina tijereta/ Barn Swallow/ hirondelle rustique/Barn Swallow,
Histrio histrio,Sargassumfish/sargassumfish/ pez sargazo/ sargassum frogfish/Frogfish,
Histriophoca fasciata,Ribbon Seal/Ribbon Seal/ribbon seal,
Holacanthus ciliaris,Queen angelfish/blue angelfish/golden angelfish/yellow angelfish/queen angelfish/ isabelita reina/ ángel reina/queen angelfish,
Holocentrus adscensionis,Squirrelfish/squirrelfish/ carajuelo de ascención/ candil de vidrio/squirrelfish,
Holocentrus rufus,Longspine squirrelfish/longspine squirrelfish/ carajuelo rufo/ candil rufo/longspine squirrelfish,
Holochlora indica,Grasshopper/,
Hologymnosus annulatus,/Narrow-banded rainbowfish,
Hologymnosus doliatus,/Candy cane wrasse,
Hologymnosus longipes,/Pale slender wrasse,
Hologymnosus rhodonotus,/Red cigar-wrasse,
Holothuria arenacava,/,
Holothuria arenicola,/,
Holothuria atra,Lollyfish/lolly fish/lolly fish,
Holothuria cinerascens,/Ashy Sea Cucumber,
Holothuria coluber,/Snakefish,
Holothuria edulis,/Pinkfish,
Holothuria flavomaculata,/,
Holothuria fuscocinerea,/,
Holothuria fuscogilva,White teatfish/white teatfish/white teeth/,
Holothuria fuscopunctata,/Elephant Trunkfish,
Holothuria glaberrima,/brown rock sea cucumber/brown rock sea cucumber,
Holothuria grisea,/gray sea cucumber/gray sea cucumber,
Holothuria hilla,/,
Holothuria horrida,/,
Holothuria impatiens,/impatient sea cucumber/impatient sea cucumber,
Holothuria isuga,/,
Holothuria kefersteinii,/,
Holothuria lessoni,/Golden Sandfish,
Holothuria leucospilota,White Thread Fish/White Thread Fish,
Holothuria mammata,/,
Holothuria mexicana,/dunkey dung sea cucumber/dunkey dung sea cucumber,
Holothuria nobilis,Black teatfish/mammy fish/mammy fish,
Holothuria notabilis,/,
Holothuria pardalis,/,
Holothuria pervicax,/,
Holothuria poli,/white spot cucumber/ concombre de mer ensablé/white spot cucumber,
Holothuria pulla,/,
Holothuria rigida,/,
Holothuria sanctori,/,
Holothuria scabra,Sandfish/sand fish/sand fish,
Holothuria spinifera,/,
Holothuria stellati,/brown sea cucumber/brown sea cucumber,
Holothuria theeli,/,
Holothuria tubulosa,/cotton-spinner/ cohombro de mar pardo/cotton-spinner,
Holothuria verrucosa,/,
Holothuria whitmaei,Black Teatfish/Black Teatfish,
Homalaspis plana,Giant stone crab/blackberry crab/,
Homalium tomentosum,/,
Homalopsis buccata,Linne's Water Snake/Banded Swamp Snake/Dog-face Water Snake/Masked Water Snake/Puff-faced Water Snake/Puff-face Water Snake/Linne's Water Snake/Puffed-faced Water Snake,
Homaloptera bilineata,/,
Homaloptera confuzona,/,
Homaloptera ocellata,/,
Homalopteroides rupicola,/,
